DJ_1,YG_F_2,YG_B_2,ZXZ_YL_1,NJB_SZ_11,YG_A_2,YG_D_2,KWC_YL_1,volume_weight,cohesion,DJ_2,DJ_3,NJB_SZ_21,ZXZ_YL_2,KWC_YL_2,ZZJL,YG_E_2,YG_C_2,frictional_angle,DJ_4,DX_DW_1
51386.25,69.56944444,31.0,2.210472222,79.49166667,61.48888889,79.95138889,1.451958333,19.70053311,12.15895062,29.10708333,0.824638889,92.075,2.248166667,1.447625,28.74,80.14166667,52.61805556,23.61185466,5879.333333,-28.0
53803.49947,71.08271474,44.75503712,2.21107105,75.37009544,72.0678685,69.15800636,1.465281018,19.70475794,12.16106256,23.74241782,1.026235419,88.91092259,2.247136797,1.460434783,32.7,78.48568399,58.60021209,23.59736441,5878.83351,-31.8
58177.06422,74.09747706,62.11697248,2.204942661,79.56766055,72.51376147,76.5733945,1.466238532,19.70886145,12.16397805,27.11502294,0.867293578,90.19036697,2.240860092,1.461387615,30.7,75.54587156,66.11582569,23.58186557,5675.493119,-32.0
55320.45952,71.45733042,57.12253829,2.20678337,80.87964989,70.04595186,72.78227571,1.485131291,19.71292074,12.16617807,26.25492341,0.886520788,91.05142232,2.245,1.479967177,29.8,72.77789934,61.54376368,23.56947611,5322.188184,-32.4
55020.04802,77.57623049,49.20888355,2.208859544,74.57022809,75.94717887,65.12605042,1.486206483,19.7168479,12.1689757,23.15798319,1.079183673,89.61944778,2.244657863,1.481404562,29.5,79.00960384,56.40336134,23.55461136,5588.151261,-34.0
53905.66038,74.84501348,47.10916442,2.208773585,76.0,73.2574124,70.71967655,1.497722372,19.72064842,12.17226947,24.11873315,1.050754717,90.31940701,2.244919137,1.492668464,29.08,76.29649596,51.19541779,23.54023386,5569.339623,-35.0
55529.10798,79.58920188,45.87910798,2.211866197,75.35211268,78.12558685,70.80633803,1.510140845,19.72444474,12.17417532,23.78474178,1.074812207,88.58098592,2.245234742,1.504823944,30.2,81.157277,49.63732394,23.52677093,5999.900235,-37.0
60257.41325,81.86540484,59.9915878,2.229726604,78.32071504,80.49947424,73.51104101,1.524363828,19.72804735,12.1776766,24.123449,0.969127234,90.68664564,2.260515247,1.518706625,31.8,83.23554154,63.52576236,23.51286588,5770.156677,-37.4
59877.63975,75.57453416,63.38664596,2.31923913,80.99689441,73.3431677,76.75465839,1.527546584,19.73172867,12.17916077,29.90574534,0.976583851,94.03881988,2.355388199,1.521940994,29.7,77.03416149,73.70031056,23.50007723,6110.046584,-39.0
60378.23444,75.48480463,67.26193922,2.319667149,79.21562952,73.42257598,75.84804631,1.572633864,19.73137457,12.24819339,29.13487699,1.016903039,93.32416787,2.355890014,1.566772793,31.2,77.0,75.54413893,23.44467018,6363.769899,-37.0
58635.11905,72.11607143,74.0014881,2.32235119,78.12946429,69.86309524,70.20386905,1.586845238,19.72882604,12.35304146,28.50014881,1.060089286,94.22470238,2.358244048,1.580863095,30.2,73.6889881,73.95535714,23.36239184,6257.172619,-38.0
63870.55477,80.08392603,76.0398293,2.32,76.28733997,77.78662873,77.48079659,1.537411095,19.72619357,12.45857551,26.51465149,1.085604552,89.71266003,2.352019915,1.533527738,31.9,81.73257468,78.16216216,23.28002076,6098.051209,-37.0
64009.76476,87.47403462,66.48601864,2.316498003,77.50466045,85.11584554,72.15446072,1.567390146,19.72336461,12.57066719,27.73129161,1.050652463,91.57256991,2.351864181,1.562356858,30.9,89.12117177,70.7723036,23.19481366,6259.691522,-35.4
61876.12613,81.18618619,72.65915916,2.316996997,83.9984985,78.86936937,68.57807808,1.593213213,19.72083224,12.67857891,29.44099099,1.005855856,97.24624625,2.351516517,1.588513514,31.6,82.74624625,72.9954955,23.11269301,6367.987988,-33.8
63482.74824,84.44332999,72.84954865,2.319327984,60.18655968,84.80140421,68.55366098,1.603570712,19.71798344,12.78973314,16.66018054,1.163189569,82.89368104,2.357271815,1.597642929,30.1,86.84854564,71.95787362,23.024346,5673.854062,-33.0
64109.94318,82.34943182,74.73011364,2.316960227,80.75710227,87.94886364,66.25710227,1.651619318,19.71528915,12.89782149,30.89659091,0.976875,90.859375,2.351946023,1.645696023,31.2,91.95454545,70.59801136,22.94141801,6858.973722,-32.0
59539.68804,77.17677643,71.91681109,2.316395147,81.86135182,74.65684575,65.8440208,1.622322357,19.71257128,13.01188171,25.95944541,1.228180243,93.19064125,2.354454073,1.616291161,31.3,78.89774697,71.68457539,22.85434293,6453.188908,-33.0
59615.09434,74.79245283,73.70889488,2.321913747,80.39892183,71.16172507,68.89218329,1.63787062,19.70985878,13.12192912,28.12506739,1.323126685,93.16981132,2.356280323,1.631698113,20.8,76.34770889,76.41778976,22.76677325,6333.369272,-31.0
